,Area_Name,Year,Sub_Group_Name,Cases_Acquitted_or_Discharged,Cases_charge_sheets_were_not_laid_but_Final_Report_submitted,Cases_Chargesheeted,Cases_Compounded_or_Withdrawn,Cases_Convicted,Cases_Declared_False_on_Account_of_Mistake_of_Fact_or_of_Law,Cases_Investigated_Chargesheets+FR_Submitted,Cases_not_Investigated_or_in_which_investigation_was_refused,Cases_Pending_Investigation_at_Year_End,Cases_Pending_Investigation_from_previous_year,Cases_Pending_Trial_at_Year_End,Cases_Pending_Trial_from_the_previous_year,Cases_Reported,Cases_Sent_for_Trial,Cases_Trials_Completed,Cases_Withdrawn_by_the_Govt,Cases_withdrawn_by_the_Govt_during_investigation,Total_Cases_for_Trial,Persons_Acquitted,Persons_against_whom_cases_Compounded_or_Withdrawn,Persons_Arrested,Persons_Chargesheeted,Persons_Convicted,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_beginning,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_end,Persons_in_Custody_or_on_Bail_during_Trial_at_Year_End,Persons_Released_or_Freed_by_Police_or_Magistrate_before_Trial_for_want_of_evidence_or_any_other_reason,Persons_Trial_Completed,Persons_under_Trial_at_Year_beginning,Total_Persons_under_Trial
1373,Daman & Diu,2010,04. Molestation,1,0,3,1,0,0,3,0,3,4,4,3,2,3,1,0,0,6,2,1,2,1,0,5,6,2,0,2,4,5
1374,Delhi,2010,04. Molestation,246,12,572,0,169,3,584,0,359,345,3641,3484,601,572,415,0,0,4056,395,0,794,721,336,582,641,4760,14,731,4770,5491
1375,Goa,2010,04. Molestation,21,7,32,0,4,2,39,0,25,30,82,75,36,32,25,0,0,107,35,0,37,38,4,24,18,95,5,39,96,134
1376,Gujarat,2010,04. Molestation,420,15,659,28,22,1,674,0,62,69,7126,6937,668,659,442,0,0,7596,671,42,986,972,29,67,81,9970,0,700,9740,10712
1377,Haryana,2010,04. Molestation,270,9,415,0,117,54,424,0,39,41,1698,1670,476,415,387,0,0,2085,374,0,605,596,165,39,48,2584,0,539,2527,3123
1378,Himachal Pradesh,2010,04. Molestation,104,2,334,41,17,22,336,0,44,52,1395,1223,350,334,121,0,0,1557,152,65,418,421,27,38,35,1875,0,179,1698,2119
1379,Jammu & Kashmir,2010,04. Molestation,344,9,889,123,29,57,898,0,233,150,4467,4074,1038,889,373,0,0,4963,701,270,2053,2049,55,2,6,11379,0,756,10356,12405
1380,Jharkhand,2010,04. Molestation,268,28,221,6,49,9,249,0,170,183,760,862,245,221,317,0,0,1083,306,4,273,318,58,123,73,751,5,364,801,1119
1381,Karnataka,2010,04. Molestation,1154,75,2169,165,52,146,2244,5,619,470,5243,4449,2544,2169,1206,4,0,6614,1821,494,3411,3102,89,303,431,6830,181,1910,6132,9234
1382,Kerala,2010,04. Molestation,1213,36,2682,207,168,148,2718,0,446,376,10519,9425,2936,2682,1381,0,0,12107,1742,276,3585,3602,246,359,342,12805,0,1988,11467,15069
1383,Lakshadweep,2010,04. Molestation,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1384,Madhya Pradesh,2010,04. Molestation,2981,30,6609,2705,1749,13,6639,0,93,99,23827,24654,6646,6609,4730,1,0,31262,3636,3302,7863,7838,2155,26,23,28141,28,5791,29396,37234
1385,Maharashtra,2010,04. Molestation,1755,59,3311,372,162,49,3370,0,1284,1042,27124,26102,3661,3311,1917,0,0,29413,2183,427,4386,4047,206,966,1298,33015,7,2389,31784,35831
1386,Manipur,2010,04. Molestation,0,13,0,0,0,0,13,0,194,176,9,9,31,0,0,0,0,9,0,0,23,0,0,37,43,10,17,0,10,10
1387,Meghalaya,2010,04. Molestation,9,4,33,4,3,0,37,0,108,97,194,177,48,33,12,0,0,210,10,3,29,27,4,11,12,194,1,14,184,211
1388,Mizoram,2010,04. Molestation,7,0,73,0,71,0,73,0,4,2,51,56,75,73,78,0,0,129,12,0,79,81,122,5,3,47,0,134,100,181
1389,Nagaland,2010,04. Molestation,1,3,12,0,9,0,15,0,4,6,14,12,13,12,10,0,0,24,7,2,15,11,1,6,2,13,8,8,12,23
1390,Odisha,2010,04. Molestation,1242,49,2719,0,98,173,2768,6,1188,1230,15846,14467,2905,2719,1340,0,0,17186,1876,0,4116,4265,147,351,202,22601,0,2023,20359,24624
1391,Puducherry,2010,04. Molestation,24,0,43,11,7,4,43,0,0,1,233,232,46,43,31,0,0,275,52,15,71,72,11,1,0,277,0,63,283,355
1392,Punjab,2010,04. Molestation,132,84,235,2,77,61,319,0,197,228,694,670,349,235,209,0,0,905,291,2,454,445,162,303,276,1283,36,453,1293,1738
1393,Rajasthan,2010,04. Molestation,523,17,1727,298,550,587,1744,0,24,16,9098,8742,2339,1727,1073,0,0,10469,599,459,2598,2598,804,0,0,13896,0,1403,13160,15758
1394,Sikkim,2010,04. Molestation,4,2,13,2,3,0,15,0,3,7,23,19,11,13,7,0,0,32,8,2,23,13,3,7,12,12,5,11,12,25
1395,Tamil Nadu,2010,04. Molestation,582,76,987,1,508,174,1063,0,446,278,3176,3280,1405,987,1090,0,0,4267,1008,0,1946,1598,765,399,732,4563,15,1773,4738,6336
1396,Tripura,2010,04. Molestation,151,34,308,23,22,6,342,0,53,25,921,809,376,308,173,0,0,1117,309,18,456,358,36,58,42,293,114,345,298,656
1397,Uttar Pradesh,2010,04. Molestation,734,119,2513,51,1818,133,2632,0,99,71,7115,7205,2793,2513,2552,0,0,9718,1137,71,4189,3646,2810,132,179,9371,496,3947,9743,13389
1398,Uttarakhand,2010,04. Molestation,11,7,116,2,51,4,123,0,4,6,413,361,125,116,62,0,0,477,16,9,184,183,65,11,6,581,6,81,488,671
1399,West Bengal,2010,04. Molestation,491,100,1915,17,81,4,2015,0,2755,2309,11641,10315,2465,1915,572,0,0,12230,706,21,1841,2167,91,874,490,11605,58,797,10256,12423
1400,Andaman & Nicobar Islands,2001,05. Sexual Harassment,0,0,1,0,0,0,1,0,0,0,5,4,1,1,0,0,0,5,0,0,1,1,0,0,0,6,0,0,5,6
1401,Andhra Pradesh,2001,05. Sexual Harassment,412,14,2011,200,1120,88,2025,6,503,351,1540,1266,2271,2011,1532,5,0,3272,734,268,2268,2068,1136,380,546,1894,34,1870,1964,4032
1402,Arunachal Pradesh,2001,05. Sexual Harassment,0,0,3,0,1,0,3,0,0,0,5,3,3,3,1,0,0,6,0,0,3,3,0,1,1,4,0,0,1,4
1403,Assam,2001,05. Sexual Harassment,4,2,3,0,2,0,5,0,22,23,38,41,4,3,6,0,0,44,7,0,11,7,3,11,13,31,2,10,34,41
1404,Bihar,2001,05. Sexual Harassment,17,4,17,2,8,0,21,0,14,14,71,81,21,17,25,0,0,98,32,4,37,42,8,76,61,112,10,40,114,156
1405,Chandigarh,2001,05. Sexual Harassment,3,1,13,0,5,0,14,0,3,2,22,17,15,13,8,0,0,30,7,0,17,19,6,4,2,29,0,13,23,42
1406,Chhattisgarh,2001,05. Sexual Harassment,55,3,166,46,87,0,169,0,0,8,778,800,161,166,142,0,0,966,72,53,194,210,89,16,0,1187,0,161,1191,1401
1407,Dadra & Nagar Haveli,2001,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1408,Daman & Diu,2001,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409,Delhi,2001,05. Sexual Harassment,41,14,95,0,35,0,109,0,41,60,249,230,90,95,76,0,0,325,52,0,107,106,26,42,41,531,2,78,503,609
1410,Goa,2001,05. Sexual Harassment,9,2,6,1,1,0,8,0,3,4,20,25,7,6,10,0,0,31,12,1,8,6,1,3,5,24,0,13,32,38
1411,Gujarat,2001,05. Sexual Harassment,44,5,103,3,6,2,108,0,1,0,571,521,111,103,50,0,0,624,57,3,147,149,6,2,0,815,0,63,732,881
1412,Haryana,2001,05. Sexual Harassment,60,3,388,0,379,2,391,0,12,4,537,588,401,388,439,0,0,976,173,0,480,471,527,3,11,982,1,700,1211,1682
1413,Himachal Pradesh,2001,05. Sexual Harassment,7,0,15,7,2,2,15,0,1,4,76,77,14,15,9,0,0,92,17,8,18,19,2,1,0,152,0,19,160,179
1414,Jammu & Kashmir,2001,05. Sexual Harassment,167,5,293,16,70,3,298,0,38,51,622,582,288,293,237,0,0,875,193,13,367,360,68,1,1,982,7,261,896,1256
1415,Jharkhand,2001,05. Sexual Harassment,9,0,6,0,4,0,6,0,8,9,47,54,5,6,13,0,0,60,10,0,46,6,10,11,50,140,1,20,154,160
1416,Karnataka,2001,05. Sexual Harassment,19,1,60,4,11,21,61,22,7,30,159,133,81,60,30,0,0,193,57,2,71,72,11,5,4,116,0,68,114,186
1417,Kerala,2001,05. Sexual Harassment,47,2,76,7,6,2,78,0,9,8,176,160,81,76,53,0,0,236,56,8,127,102,3,8,32,261,1,59,226,328
1418,Lakshadweep,2001,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,Madhya Pradesh,2001,05. Sexual Harassment,207,57,649,23,204,0,706,0,37,23,1398,1219,751,649,411,36,31,1832,433,157,1123,1106,306,1,12,2549,6,739,2339,3445
1420,Maharashtra,2001,05. Sexual Harassment,372,19,1092,171,26,3,1111,0,159,153,5666,5143,1120,1092,398,0,0,6235,475,209,1314,1309,33,60,60,7185,5,508,6593,7902
1421,Manipur,2001,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1422,Meghalaya,2001,05. Sexual Harassment,0,1,0,0,0,0,1,0,13,14,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1
1423,Mizoram,2001,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1424,Nagaland,2001,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425,Odisha,2001,05. Sexual Harassment,136,23,434,0,57,0,457,0,45,44,593,352,458,434,193,0,0,786,398,0,539,541,45,7,5,619,0,443,521,1062
1426,Puducherry,2001,05. Sexual Harassment,4,1,27,7,16,0,28,0,0,1,21,21,27,27,20,0,0,48,7,16,45,45,20,0,0,26,0,27,24,69
1427,Punjab,2001,05. Sexual Harassment,2,6,33,1,1,7,39,1,15,15,46,17,47,33,3,0,0,50,5,0,57,43,1,23,35,57,2,6,20,63
1428,Rajasthan,2001,05. Sexual Harassment,12,1,51,12,35,5,52,0,0,1,182,190,56,51,47,0,0,241,31,16,58,58,41,0,0,289,0,72,319,377
1429,Sikkim,2001,05. Sexual Harassment,1,6,7,0,1,0,13,0,1,0,18,13,14,7,2,0,0,20,2,1,18,7,5,6,6,1,11,7,2,9
1430,Tamil Nadu,2001,05. Sexual Harassment,126,3,1055,0,989,2,1058,7,16,71,501,561,1012,1055,1115,0,0,1616,120,0,1229,1220,1051,40,24,658,25,1171,609,1829
1431,Tripura,2001,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1432,Uttar Pradesh,2001,05. Sexual Harassment,511,25,2593,59,1601,10,2618,0,66,119,4352,3930,2575,2593,2112,0,0,6523,780,91,3961,3969,2159,143,96,6778,39,2939,5839,9808
1433,Uttarakhand,2001,05. Sexual Harassment,24,5,86,1,48,0,91,0,2,9,153,140,84,86,72,0,0,226,57,2,137,132,108,5,4,211,6,165,246,378
1434,West Bengal,2001,05. Sexual Harassment,30,10,33,0,1,0,43,0,25,20,42,40,48,33,31,0,0,73,32,0,56,34,1,22,29,60,15,33,59,93
1435,Andaman & Nicobar Islands,2002,05. Sexual Harassment,0,0,3,0,0,0,3,0,0,0,8,5,3,3,0,0,0,8,0,0,3,3,0,0,0,9,0,0,6,9
1436,Andhra Pradesh,2002,05. Sexual Harassment,408,12,2165,192,1159,122,2177,2,226,503,1938,1540,2024,2165,1567,8,0,3697,595,192,2433,2146,1185,546,772,2068,61,1780,1894,4040
1437,Arunachal Pradesh,2002,05. Sexual Harassment,0,0,2,0,0,0,2,0,0,0,7,5,2,2,0,0,0,7,0,0,4,1,0,1,4,5,0,0,4,5
1438,Assam,2002,05. Sexual Harassment,6,6,5,0,0,0,11,0,18,22,37,38,7,5,6,0,0,43,5,0,7,5,0,13,13,31,2,5,31,36
1439,Bihar,2002,05. Sexual Harassment,16,0,11,0,4,0,11,0,9,14,62,71,6,11,20,0,0,82,22,0,16,50,4,61,27,146,0,26,122,172
1440,Chandigarh,2002,05. Sexual Harassment,5,2,27,0,13,0,29,0,2,3,31,22,28,27,18,0,0,49,7,0,31,33,13,2,0,42,0,20,29,62
1441,Chhattisgarh,2002,05. Sexual Harassment,151,0,147,89,157,0,147,0,0,0,530,780,147,147,308,0,0,927,258,97,177,167,313,0,10,686,0,571,1187,1354
1442,Dadra & Nagar Haveli,2002,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1443,Daman & Diu,2002,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1444,Delhi,2002,05. Sexual Harassment,18,3,110,0,34,0,113,0,56,41,307,249,128,110,52,0,0,359,34,0,171,112,41,41,98,568,2,75,531,643
1445,Goa,2002,05. Sexual Harassment,5,0,7,2,0,0,7,0,2,3,20,20,6,7,5,0,0,27,5,2,8,8,0,5,5,25,0,5,24,32
1446,Gujarat,2002,05. Sexual Harassment,51,4,96,1,6,2,100,0,3,1,609,571,104,96,57,0,0,667,73,2,142,139,4,0,3,875,0,77,815,954
1447,Haryana,2002,05. Sexual Harassment,143,2,1417,19,1196,4,1419,0,13,12,596,537,1424,1417,1339,0,0,1954,227,0,1612,1610,1331,11,13,1034,0,1558,982,2592
1448,Himachal Pradesh,2002,05. Sexual Harassment,4,0,9,5,0,1,9,0,3,1,76,76,12,9,4,0,0,85,9,4,16,14,0,0,2,153,0,9,152,166
1449,Jammu & Kashmir,2002,05. Sexual Harassment,199,2,345,6,113,9,347,0,50,38,649,622,368,345,312,0,0,967,244,5,458,452,146,1,7,1039,0,390,982,1434
1450,Jharkhand,2002,05. Sexual Harassment,12,0,3,0,3,0,3,0,6,6,39,51,3,3,15,0,0,54,12,0,3,16,0,18,3,140,2,12,136,152
1451,Karnataka,2002,05. Sexual Harassment,20,12,52,12,2,23,64,0,20,7,177,159,100,52,22,0,0,211,35,13,83,84,2,4,3,150,0,37,116,200
1452,Kerala,2002,05. Sexual Harassment,30,3,98,7,14,3,101,0,7,9,223,176,102,98,44,0,0,274,47,15,113,108,25,32,7,282,30,72,261,369
1453,Lakshadweep,2002,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1454,Madhya Pradesh,2002,05. Sexual Harassment,212,7,777,238,171,2,784,0,34,37,1554,1398,783,777,383,0,0,2175,277,319,1110,1114,273,12,8,2794,0,550,2549,3663
1455,Maharashtra,2002,05. Sexual Harassment,430,8,753,143,39,5,761,0,162,159,5807,5666,769,753,469,0,0,6419,754,187,972,969,40,60,58,7173,5,794,7185,8154
1456,Manipur,2002,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1457,Meghalaya,2002,05. Sexual Harassment,0,0,0,0,0,0,0,0,13,13,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1
1458,Mizoram,2002,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
1459,Nagaland,2002,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1460,Odisha,2002,05. Sexual Harassment,93,6,182,2,15,2,188,0,43,45,665,593,188,182,108,0,0,775,157,0,244,247,18,5,2,691,0,175,619,866
1461,Puducherry,2002,05. Sexual Harassment,0,0,25,5,15,0,25,0,1,0,26,21,26,25,15,0,0,46,0,6,35,33,22,0,2,31,0,22,26,59
1462,Punjab,2002,05. Sexual Harassment,21,13,126,0,75,6,139,1,14,15,76,46,145,126,96,0,0,172,32,0,185,167,92,35,37,100,16,124,57,224
1463,Rajasthan,2002,05. Sexual Harassment,18,0,37,22,34,7,37,0,0,0,145,182,44,37,52,0,0,219,28,26,62,62,62,0,0,235,0,90,289,351
1464,Sikkim,2002,05. Sexual Harassment,2,0,1,6,6,0,1,0,0,1,5,18,0,1,8,0,0,19,2,0,0,3,2,6,3,0,0,4,1,4
1465,Tamil Nadu,2002,05. Sexual Harassment,136,0,1686,0,1488,10,1686,0,38,16,563,501,1718,1686,1624,0,0,2187,189,8,1857,1859,1631,24,21,689,1,1820,658,2517
1466,Tripura,2002,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1467,Uttar Pradesh,2002,05. Sexual Harassment,745,15,1924,44,1431,10,1939,0,4,66,4056,4352,1887,1924,2176,0,0,6276,1463,67,2771,2840,2035,96,8,6053,19,3498,6778,9618
1468,Uttarakhand,2002,05. Sexual Harassment,16,0,99,0,50,0,99,0,0,2,186,153,97,99,66,0,0,252,17,0,135,138,71,4,0,261,1,88,211,349
1469,West Bengal,2002,05. Sexual Harassment,42,4,31,0,2,0,35,0,24,25,29,42,34,31,44,0,0,73,37,0,49,47,3,29,29,67,2,40,60,107
1470,Andaman & Nicobar Islands,2003,05. Sexual Harassment,0,0,2,0,0,0,2,0,0,0,10,8,2,2,0,0,0,10,0,0,2,2,0,0,0,11,0,0,9,11
1471,Andhra Pradesh,2003,05. Sexual Harassment,794,18,2049,233,1357,124,2067,19,302,226,1603,1938,2286,2049,2151,0,0,3987,1031,394,3066,2978,1068,772,770,2553,90,2099,2068,5046
1472,Arunachal Pradesh,2003,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,7,0,0,0,0,0,4,4,5,0,0,5,5
1473,Assam,2003,05. Sexual Harassment,15,4,4,0,2,1,8,0,15,18,24,37,6,4,17,0,0,41,14,0,6,5,0,13,5,22,9,14,31,36
1474,Bihar,2003,05. Sexual Harassment,18,0,8,2,11,1,8,0,11,9,39,62,11,8,29,0,0,70,62,2,20,37,13,27,10,106,0,75,146,183
1475,Chandigarh,2003,05. Sexual Harassment,4,0,3,0,4,1,3,0,2,2,26,31,4,3,8,0,0,34,7,0,3,1,4,0,1,32,1,11,42,43
1476,Chhattisgarh,2003,05. Sexual Harassment,21,1,104,105,35,0,105,0,1,1,464,521,105,104,56,0,0,625,59,115,155,152,73,10,13,668,0,132,763,915
1477,Dadra & Nagar Haveli,2003,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1478,Daman & Diu,2003,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1479,Delhi,2003,05. Sexual Harassment,19,7,109,0,53,0,116,0,45,56,344,307,105,109,72,0,0,416,44,0,113,143,104,98,68,563,0,148,568,711
1480,Goa,2003,05. Sexual Harassment,4,0,5,1,1,0,5,0,4,2,19,20,7,5,5,0,0,25,7,1,6,8,1,5,3,24,0,8,25,33
1481,Gujarat,2003,05. Sexual Harassment,45,7,79,4,8,2,86,0,7,3,631,609,92,79,53,0,0,688,62,4,111,109,11,3,5,907,0,73,875,984
1482,Haryana,2003,05. Sexual Harassment,121,3,1309,0,1119,3,1312,0,0,13,665,596,1302,1309,1240,0,0,1905,202,0,1347,1360,1215,13,0,977,0,1417,1034,2394
1483,Himachal Pradesh,2003,05. Sexual Harassment,10,0,17,1,1,1,17,0,3,3,81,76,18,17,11,0,0,93,26,1,18,18,1,2,1,143,1,27,153,171
1484,Jammu & Kashmir,2003,05. Sexual Harassment,144,2,376,1,137,9,378,0,39,50,743,649,376,376,281,0,0,1025,160,3,471,473,180,7,5,1169,0,340,1039,1512
1485,Jharkhand,2003,05. Sexual Harassment,13,0,2,3,0,0,2,0,6,6,25,39,2,2,13,0,0,41,1,3,29,27,4,3,5,159,0,5,140,167
1486,Karnataka,2003,05. Sexual Harassment,28,6,57,6,18,14,63,0,27,20,182,177,84,57,46,0,0,234,45,19,57,53,17,3,7,122,0,62,150,203
1487,Kerala,2003,05. Sexual Harassment,39,3,61,12,11,3,64,0,8,7,222,223,68,61,50,0,0,284,45,24,222,178,15,7,51,376,0,60,282,460
1488,Lakshadweep,2003,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1489,Madhya Pradesh,2003,05. Sexual Harassment,311,4,699,188,229,0,703,0,9,7,1510,1539,705,699,540,0,0,2238,401,229,907,908,279,1,0,2876,0,680,2877,3785
1490,Maharashtra,2003,05. Sexual Harassment,468,15,669,190,38,6,684,0,154,162,5780,5807,682,669,506,0,0,6476,532,234,951,917,41,58,92,7283,0,573,7173,8090
1491,Manipur,2003,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1492,Meghalaya,2003,05. Sexual Harassment,0,1,0,0,0,0,1,0,13,13,3,3,1,0,0,0,0,3,0,0,1,0,0,0,0,1,1,0,1,1
1493,Mizoram,2003,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1494,Nagaland,2003,05. Sexual Harassment,0,0,2,2,0,0,2,0,0,0,0,0,2,2,0,0,0,2,0,2,5,2,0,0,0,0,3,0,0,2
1495,Odisha,2003,05. Sexual Harassment,192,1,212,0,36,3,213,0,15,43,649,665,188,212,228,0,0,877,161,0,299,299,52,2,2,777,0,213,691,990
1496,Puducherry,2003,05. Sexual Harassment,8,1,25,2,6,0,26,0,2,1,35,26,27,25,14,0,0,51,13,5,43,44,16,2,1,41,0,29,31,75
1497,Punjab,2003,05. Sexual Harassment,27,50,141,1,51,8,191,1,13,14,138,76,199,141,78,0,0,217,46,0,225,170,62,37,43,162,49,108,100,270
1498,Rajasthan,2003,05. Sexual Harassment,8,2,24,8,13,7,26,0,0,0,140,145,33,24,21,0,0,169,42,38,33,33,51,0,0,137,0,93,235,268
1499,Sikkim,2003,05. Sexual Harassment,3,0,0,2,0,0,0,0,0,0,0,5,0,0,3,0,0,5,3,0,0,3,0,3,0,0,0,3,0,3
1500,Tamil Nadu,2003,05. Sexual Harassment,163,1,872,1,474,7,873,1,37,37,794,568,881,872,637,8,0,1432,174,1,884,822,525,21,82,820,1,699,698,1520
1501,Tripura,2003,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1502,Uttar Pradesh,2003,05. Sexual Harassment,1039,1,4958,73,2321,4,4959,0,11,4,5581,4056,4970,4958,3360,0,0,9014,1317,119,6126,6113,2904,8,19,7826,2,4221,6053,12166
1503,Uttarakhand,2003,05. Sexual Harassment,24,1,96,13,79,0,97,0,1,0,166,186,98,96,103,0,0,282,32,25,167,164,118,0,1,250,2,150,261,425
1504,West Bengal,2003,05. Sexual Harassment,28,11,46,0,6,2,57,0,36,24,41,29,71,46,34,0,0,75,43,0,84,62,7,29,30,79,21,50,67,129
1505,Andaman & Nicobar Islands,2004,05. Sexual Harassment,1,0,2,0,0,0,2,0,1,0,11,10,3,2,1,0,0,12,1,0,3,2,0,0,1,12,0,1,11,13
1506,Andhra Pradesh,2004,05. Sexual Harassment,745,54,2043,276,739,112,2097,0,403,302,1885,1603,2310,2043,1484,1,0,3645,829,403,2528,2345,1135,770,850,2531,103,1964,2553,4898
1507,Arunachal Pradesh,2004,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,7,0,0,0,4,0,4,0,9,0,0,5,9
1508,Assam,2004,05. Sexual Harassment,10,11,7,0,2,1,18,0,7,15,19,24,11,7,12,0,0,31,9,0,19,15,2,5,6,26,3,11,22,37
1509,Bihar,2004,05. Sexual Harassment,9,1,13,3,3,0,14,0,10,11,37,39,13,13,12,0,0,52,21,46,18,21,4,10,1,56,6,25,106,127
1510,Chandigarh,2004,05. Sexual Harassment,5,0,15,0,4,0,15,0,5,2,32,26,18,15,9,0,0,41,8,0,24,15,4,1,10,35,0,12,32,47
1511,Chhattisgarh,2004,05. Sexual Harassment,147,1,129,38,80,0,130,0,2,1,328,464,131,129,227,0,0,593,174,74,155,156,93,13,2,483,10,267,668,824
1512,Dadra & Nagar Haveli,2004,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1513,Daman & Diu,2004,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1514,Delhi,2004,05. Sexual Harassment,50,0,129,0,40,0,129,0,46,45,383,344,130,129,90,0,0,473,50,0,137,129,40,68,72,602,4,90,563,692
1515,Goa,2004,05. Sexual Harassment,4,1,8,2,0,0,9,0,10,4,21,19,15,8,4,0,0,27,5,3,17,10,0,3,10,26,0,5,24,34
1516,Gujarat,2004,05. Sexual Harassment,47,9,154,2,13,1,163,0,7,7,723,631,164,154,60,0,0,785,50,3,251,253,16,5,3,1091,0,66,907,1160
1517,Haryana,2004,05. Sexual Harassment,192,0,829,0,833,4,829,0,17,0,469,665,850,829,1025,0,0,1494,172,0,959,938,904,0,21,839,0,1076,977,1915
1518,Himachal Pradesh,2004,05. Sexual Harassment,9,1,14,13,1,2,15,0,2,3,72,81,16,14,10,0,0,95,4,16,17,16,4,1,2,135,0,8,143,159
1519,Jammu & Kashmir,2004,05. Sexual Harassment,173,2,251,1,80,2,253,0,48,39,740,743,264,251,253,0,0,994,231,0,319,319,107,5,5,1150,0,338,1169,1488
1520,Jharkhand,2004,05. Sexual Harassment,13,0,2,3,0,0,2,0,7,6,11,25,3,2,13,0,0,27,1,3,29,27,4,5,7,178,0,5,159,186
1521,Karnataka,2004,05. Sexual Harassment,51,8,62,4,70,3,70,0,11,27,119,182,57,62,121,0,0,244,49,4,63,69,47,7,1,91,0,96,122,191
1522,Kerala,2004,05. Sexual Harassment,57,0,115,18,20,5,115,0,21,8,242,222,133,115,77,0,0,337,93,21,148,92,18,51,107,336,0,111,376,468
1523,Lakshadweep,2004,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1524,Madhya Pradesh,2004,05. Sexual Harassment,254,3,785,173,205,4,788,0,21,9,1663,1510,804,785,459,0,0,2295,396,227,1032,1031,273,0,1,3011,0,669,2876,3907
1525,Maharashtra,2004,05. Sexual Harassment,281,13,775,103,13,4,788,0,224,154,6158,5780,862,775,294,0,0,6555,419,127,1092,1060,14,92,121,7783,3,433,7283,8343
1526,Manipur,2004,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
